日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,换手率
2019-11-28,114.41,115.09,112.58,113.37,11386396.0,1494448474.0,3795770918.0,0.0029997584801559935
2019-11-29,113.19,113.19,109.2,110.54,25875927.0,3301606332.0,3795770918.0,0.006817041270139159
2019-12-02,110.46,111.75,108.51,110.07,14121785.0,1797000338.0,3795770918.0,0.0037203997040582207
2019-12-03,109.51,109.88,108.23,109.23,13950866.0,1751894507.0,3795770918.0,0.0036753709065642827
2019-12-04,110.9,111.43,109.96,111.32,19221202.0,2460398235.0,3795770918.0,0.005063846690233797
2019-12-05,111.37,111.54,110.5,111.07,11277894.0,1444566391.0,3795770918.0,0.0029711735095811175
2019-12-06,111.06,113.71,110.94,113.51,20298314.0,2646395632.0,3795770918.0,0.005347613024733122
2019-12-09,114.2,115.25,112.84,113.09,13149531.0,1729362052.0,3795770918.0,0.0034642583243481187
2019-12-10,112.56,113.6,112.23,113.41,9711599.0,1265677536.0,3795770918.0,0.0025585313786842183
2019-12-11,113.01,113.4,110.93,111.64,14718510.0,1895323879.0,3795770918.0,0.0038776075579806633
2019-12-12,111.8,111.99,110.33,110.74,12977588.0,1660017933.0,3795770918.0,0.0034189597529341734
2019-12-13,111.43,112.86,111.11,112.25,16466625.0,2129229227.0,3795770918.0,0.00433815036674455
2019-12-16,112.86,112.93,110.59,111.65,20212079.0,2593321998.0,3795770918.0,0.005324894319662945
2019-12-17,111.79,112.95,111.67,112.88,25266098.0,3279889508.0,3795770918.0,0.006656381153084118
2019-12-18,113.1,115.2,112.88,113.48,23557396.0,3096584395.0,3795770918.0,0.006206221742278494
2019-12-19,113.53,114.1,111.95,112.54,13036263.0,1694680211.0,3795770918.0,0.0034344177458603942
2019-12-20,112.67,112.91,111.71,111.89,13045860.0,1685840239.0,3795770918.0,0.003436946086007185
2019-12-23,110.5,112.23,110.06,111.05,15676477.0,2013854463.0,3795770918.0,0.004129985011914252
2019-12-24,111.31,112.34,111.28,111.54,8308120.0,1071252225.0,3795770918.0,0.002188783301068539
2019-12-25,111.94,111.96,110.66,111.02,10982186.0,1405926673.0,3795770918.0,0.0028932689135482753
2019-12-26,111.02,111.21,110.31,111.06,10114355.0,1293330428.0,3795770918.0,0.0026646378874016128
2019-12-27,111.78,112.88,111.64,111.8,19653000.0,2547996968.0,3795770918.0,0.005177604345616096
2019-12-30,111.97,115.48,111.43,115.11,34011693.0,4485255974.0,3795770918.0,0.008960417721394219
2019-12-31,115.27,116.24,114.57,115.27,19507442.0,2597567644.0,3795757968.0,0.0051392744649307945
2020-01-02,114.4,115.7,112.31,114.47,30667439.0,4038536855.0,3795757968.0,0.00807939791170584
2020-01-03,114.05,114.46,112.33,113.14,20469248.0,2672531470.0,3795757968.0,0.00539266417210087
2020-01-06,112.67,112.88,111.38,111.97,25936979.0,3353682073.0,3795757968.0,0.006833148798912039
2020-01-07,112.23,113.59,111.8,112.12,22327793.0,2901574233.0,3795757968.0,0.0058823015556401775
2020-01-08,111.79,112.46,110.98,111.7,16180218.0,2083242871.0,3795757968.0,0.004262710672389215
2020-01-09,111.8,113.71,111.15,113.33,25549057.0,3317934212.0,3795757968.0,0.006730949975048567
2020-01-10,113.1,116.18,113.1,115.8,42969542.0,5712380856.0,3795757968.0,0.011320411459912135
2020-01-13,116.36,121.33,116.35,121.04,49604194.0,6847185988.0,3795757968.0,0.01306832374935029
2020-01-14,121.42,121.92,119.77,120.08,19907317.0,2767444879.0,3795757968.0,0.005244622330461509
2020-01-15,120.08,123.77,120.08,122.03,23478904.0,3309331110.0,3795757968.0,0.006185564042264562
2020-01-16,122.03,123.07,120.73,121.9,14535988.0,2046672621.0,3795757968.0,0.0038295350026385034
2020-01-17,122.42,122.89,119.86,120.08,14847814.0,2068064060.0,3795757968.0,0.0039116861836750285
2020-01-20,121.81,121.9,118.56,119.22,16753769.0,2308928099.0,3795757968.0,0.004413813826182292
2020-01-21,118.3,118.3,114.41,114.94,29307308.0,3903226855.0,3795757968.0,0.0077210686895935405
2020-01-22,113.52,114.98,112.46,114.14,25753051.0,3375415202.0,3795757968.0,0.006784692600821802
2020-01-23,114.2,114.2,108.33,109.34,41593668.0,5294268764.0,3795757968.0,0.010957934713080736
2020-02-03,98.4,98.4,98.4,98.4,16763900.0,1903373206.0,3795757968.0,0.004416482858319064
2020-02-04,94.47,104.0,94.47,99.23,71021426.0,8017646169.0,3795757968.0,0.01871073619517987
2020-02-05,100.45,103.83,98.89,101.84,38878339.0,4546389351.0,3795757968.0,0.010242575877535508
2020-02-06,103.13,103.95,101.05,103.26,30655105.0,3619248779.0,3795757968.0,0.008076148494829426
2020-02-07,103.35,104.8,101.93,104.5,28011695.0,3346691769.0,3795757968.0,0.007379736863138161
2020-02-10,103.57,106.02,102.77,104.98,22187650.0,2682789606.0,3795757968.0,0.0058453806030448145
2020-02-11,105.0,108.77,105.0,108.15,24577382.0,3049430908.0,3795757968.0,0.006474960260163774
2020-02-12,107.9,108.55,106.4,107.89,17511362.0,2168783486.0,3795757968.0,0.0046134032115927575
2020-02-13,108.23,109.77,106.92,107.59,17862884.0,2230165010.0,3795757968.0,0.0047060123829265185
2020-02-14,107.64,109.09,106.12,106.97,16971973.0,2094049252.0,3795757968.0,0.00447130010477001
2020-02-17,106.75,107.73,106.23,107.73,23816908.0,2941280510.0,3795757968.0,0.006274611869562702
2020-02-18,107.29,107.73,106.61,106.94,12872775.0,1590249169.0,3795757968.0,0.0033913582237127507
2020-02-19,107.27,110.22,106.32,109.2,31662776.0,3976674952.0,3795757968.0,0.008341621427638928
2020-02-20,110.07,113.17,109.97,112.8,33466160.0,4332207306.0,3795757968.0,0.008816726535815837
2020-02-21,112.67,113.71,111.82,112.67,20743751.0,2695003477.0,3795757968.0,0.005464982534418538
2020-02-24,112.15,112.15,109.81,110.15,23560124.0,3005249413.0,3795757968.0,0.00620696161310146
2020-02-25,108.16,110.07,107.34,108.59,24063330.0,3014293143.0,3795757968.0,0.006339532236476886
2020-02-26,107.32,109.56,106.6,107.55,21417866.0,2662201891.0,3795757968.0,0.005642579474392873
2020-02-27,108.16,110.72,107.9,109.46,23573167.0,2986686525.0,3795757968.0,0.006210397817440609
2020-02-28,107.47,107.49,103.13,104.52,36601211.0,4445668089.0,3795757968.0,0.009642661968588404
2020-03-02,104.09,107.12,103.65,106.3,26982238.0,3287615181.0,3795757968.0,0.007108524365218431
2020-03-03,107.21,109.09,107.21,107.79,23092324.0,2878896361.0,3795757968.0,0.006083718770975126
2020-03-04,107.47,109.14,107.47,108.57,19757510.0,2471690890.0,3795757968.0,0.005205155377809906
2020-03-05,109.68,116.89,109.2,115.44,56561987.0,7399037627.0,3795757968.0,0.01490136817912095
2020-03-06,114.4,116.89,112.67,112.73,29165822.0,3845033468.0,3795757968.0,0.00768379392097215
2020-03-09,110.93,111.15,109.23,109.46,24454158.0,3106158207.0,3795757968.0,0.006442496651830778
2020-03-10,109.46,114.08,109.37,113.29,31077221.0,4017374186.0,3795757968.0,0.00818735579612699
2020-03-11,114.83,115.09,112.23,112.58,18763487.0,2452609915.0,3795757968.0,0.0049432780377950585
2020-03-12,109.96,111.03,109.08,109.23,25266000.0,3199005136.0,3795757968.0,0.006656378044386417
2020-03-13,104.0,108.52,103.03,106.25,35088698.0,4280415923.0,3795757968.0,0.009244187404943623
2020-03-16,105.21,106.08,99.15,100.1,37024247.0,4379489485.0,3795757968.0,0.009754111645719135
2020-03-17,99.23,101.9,94.1,97.38,35297954.0,3975112228.0,3795757968.0,0.009299316315101785
2020-03-18,98.11,100.51,92.46,93.24,40442259.0,4528147000.0,3795757968.0,0.010654593717762565
2020-03-19,91.69,92.73,85.48,88.49,60169789.0,6133825333.0,3795757968.0,0.015851850804835088
2020-03-20,90.41,95.04,90.31,94.04,42206390.0,4484741875.0,3795757968.0,0.011119357544874947
2020-03-23,90.13,92.3,89.3,90.57,32826540.0,3443583082.0,3795757968.0,0.008648217372325358
2020-03-24,92.8,95.24,91.9,94.51,35636342.0,3859693789.0,3795757968.0,0.009388465307965074
2020-03-25,98.02,99.63,96.93,98.8,30947333.0,3508691591.0,3795757968.0,0.008153136543715477
2020-03-26,97.91,100.79,96.98,98.7,20880123.0,2397709906.0,3795757968.0,0.005500910009549903
2020-03-27,100.19,102.09,100.19,100.37,23543496.0,2745616756.0,3795757968.0,0.006202580933368932
2020-03-30,97.78,98.82,96.81,98.13,20580583.0,2321514404.0,3795757968.0,0.005421995599694147
2020-03-31,99.67,101.04,98.85,99.84,18849621.0,2179898621.0,3795757968.0,0.004965970211723468
2020-04-01,100.53,101.39,99.18,99.67,17596852.0,2033698724.0,3795757968.0,0.004635925722437949
2020-04-02,98.8,101.56,98.38,101.56,19153739.0,2218330786.0,3795757968.0,0.005046090704801229
2020-04-03,102.01,103.54,101.23,101.85,17580586.0,2076905527.0,3795757968.0,0.004631640412326732
2020-04-07,104.52,107.97,104.52,107.59,29451150.0,3627761365.0,3795757968.0,0.007758964151109437
2020-04-08,107.59,109.19,106.97,108.57,20113362.0,2515223466.0,3795757968.0,0.005298905296271514
2020-04-09,109.76,110.59,106.61,108.31,15879620.0,1985606241.0,3795757968.0,0.004183517530325316
2020-04-10,108.31,111.63,107.64,109.65,19896089.0,2526071158.0,3795757968.0,0.0052416642914888826
2020-04-13,108.46,110.08,107.64,108.33,14606018.0,1831925095.0,3795757968.0,0.003847984545678493
2020-04-14,109.73,111.69,108.51,111.32,19461888.0,2481573353.0,3795757968.0,0.005127273172861058
2020-04-15,111.34,112.91,110.25,110.85,16296718.0,2095661174.0,3795757968.0,0.00429340282952414
2020-04-16,110.07,110.76,108.78,109.29,18825435.0,2379554856.0,3795757968.0,0.004959598361831062
2020-04-17,110.21,112.41,109.84,111.64,23471089.0,3022344869.0,3795757968.0,0.006183505164942592
2020-04-20,112.6,113.08,111.69,112.07,13218834.0,1710863423.0,3795757968.0,0.003482528156811077
2020-04-21,111.0,111.76,108.4,109.61,20552372.0,2596092234.0,3795757968.0,0.00541456335553163
2020-04-22,109.67,113.52,108.7,112.93,26598477.0,3436601400.0,3795757968.0,0.007007421765096062
2020-04-23,113.71,116.39,113.36,113.61,21331870.0,2822832124.0,3795757968.0,0.005619923656839439
2020-04-24,113.74,115.52,112.12,113.88,16773324.0,2215246722.0,3795757968.0,0.004418965629897085
2020-04-27,114.84,115.8,112.99,115.01,15934244.0,2110526724.0,3795757968.0,0.0041979083319677035
2020-04-28,117.87,122.39,116.57,120.47,42077345.0,5811722420.0,3795757968.0,0.011085360382493177
2020-04-29,120.47,121.46,116.13,117.43,29183204.0,3980521441.0,3795757968.0,0.007688373243507079
2020-04-30,117.43,120.64,116.15,117.67,22864055.0,3121490869.0,3795757968.0,0.006023580848082145
2020-05-06,116.57,120.51,116.11,119.78,25104481.0,3442757066.0,3795757968.0,0.006613825541997782
2020-05-07,119.93,123.07,119.05,122.99,27796178.0,3911603340.0,3795757968.0,0.00732295848005449
2020-05-08,123.63,126.1,122.14,123.85,24326698.0,3478295311.0,3795757968.0,0.006408917060857238
2020-05-11,124.12,125.75,122.2,122.94,23681991.0,3384838039.0,3795757968.0,0.006239067717080532
2020-05-12,122.2,124.62,122.1,123.85,15184489.0,2167669766.0,3795757968.0,0.004000383883275036
2020-05-13,123.85,126.71,123.33,126.53,19635029.0,2845747547.0,3795757968.0,0.005172887514307393
2020-05-14,126.45,127.4,125.15,126.79,15361261.0,2244204772.0,3795757968.0,0.004046954818906409
2020-05-15,127.83,128.26,124.87,125.86,16064447.0,2338474671.0,3795757968.0,0.004232210571756876
2020-05-18,125.67,132.13,125.32,131.03,24881015.0,3718097609.0,3795757968.0,0.006554952979025137
2020-05-19,132.88,133.02,130.32,131.23,17650556.0,2669709610.0,3795757968.0,0.004650074148247168
2020-05-20,132.17,132.58,130.44,130.74,17041214.0,2580358166.0,3795757968.0,0.004489541784187858
2020-05-21,131.61,133.06,130.89,131.45,17092150.0,2602103043.0,3795757968.0,0.0045029609748816314
2020-05-22,130.66,130.67,124.5,125.02,38352639.0,5597327855.0,3795757968.0,0.010104079165039113
2020-05-25,124.81,127.75,122.29,127.42,24355991.0,3540747465.0,3795757968.0,0.006416634360075721
2020-05-26,127.42,129.24,126.66,128.1,16511925.0,2436906020.0,3795757968.0,0.004350099542490112
2020-05-27,128.11,128.61,126.25,126.67,14596302.0,2143082940.0,3795757968.0,0.0038454248461186396
2020-05-28,126.66,128.28,125.23,126.67,14818404.0,2166223144.0,3795757968.0,0.003903938060573413
2020-05-29,125.67,128.78,125.52,128.44,16321720.0,2408655796.0,3795757968.0,0.004299989656242487
2020-06-01,130.05,138.82,130.05,137.44,35784358.0,5624344618.0,3795757968.0,0.009427460418097975
2020-06-02,137.27,141.83,136.95,137.6,29158586.0,4669324668.0,3795757968.0,0.007681887582353881
2020-06-03,139.41,140.19,135.79,137.14,25275933.0,4004118586.0,3795757968.0,0.006658994913028659
2020-06-04,136.96,138.65,136.07,137.67,13631755.0,2166142875.0,3795757968.0,0.0035913130170369175
2020-06-05,137.89,139.25,136.59,138.74,15985906.0,2547709185.0,3795757968.0,0.004211518788808086
2020-06-08,138.23,142.96,138.06,139.19,22255110.0,3596734091.0,3795757968.0,0.005863153074463888
2020-06-09,139.17,141.27,137.81,140.93,16111888.0,2610701054.0,3795757968.0,0.0042447089977366015
2020-06-10,140.96,141.94,139.6,140.87,14948146.0,2428166146.0,3795757968.0,0.00393811884899401
2020-06-11,140.23,141.04,136.89,138.73,19946097.0,3195703175.0,3795757968.0,0.005254838998733546
2020-06-12,136.07,140.29,135.29,139.97,17647613.0,2822869417.0,3795757968.0,0.004649298809033021
2020-06-15,137.8,139.43,135.63,136.07,26621961.0,4206860399.0,3795757968.0,0.007013608671689681
2020-06-16,136.15,138.02,135.55,136.65,25984652.0,4095546267.0,3795757968.0,0.006845708345754041
2020-06-17,136.29,136.5,133.38,135.09,23242329.0,3610097414.0,3795757968.0,0.0061232378871212585
2020-06-18,135.72,137.43,135.16,137.24,19949002.0,3145346589.0,3795757968.0,0.0052556043267719755
2020-06-19,137.37,144.3,137.3,143.49,38702809.0,6342808631.0,3795757968.0,0.010196332149278913
2020-06-22,144.05,144.05,141.41,143.17,21631228.0,3513415730.0,3795757968.0,0.005698790118432546
2020-06-23,143.17,147.91,142.36,147.54,26532477.0,4413501331.0,3795757968.0,0.006990033933586147
2020-06-24,147.92,150.46,146.68,148.09,18798602.0,3172425487.0,3795757968.0,0.004952529154514311
2020-06-29,146.34,148.0,145.63,147.12,19993555.0,3331811630.0,3795757968.0,0.005267341903397145
2020-06-30,148.03,150.78,148.0,150.3,18989762.0,3238678111.0,3795811143.0,0.00500282055260303
2020-07-01,150.3,162.58,150.3,159.84,27181836.0,4886748746.0,3795811143.0,0.007161008537036164
2020-07-02,158.1,168.94,157.99,166.43,34887021.0,6549218076.0,3795811143.0,0.009190926441199922
2020-07-03,166.87,167.32,160.29,165.76,30815941.0,5745184556.0,3795811143.0,0.008118407328254161
2020-07-06,165.75,172.15,162.98,169.36,32843107.0,6291466680.0,3795811143.0,0.008652460768646834
2020-07-07,169.32,181.27,167.16,177.33,38411125.0,7693352359.0,3795811143.0,0.010119345655759355
2020-07-08,176.98,180.76,174.79,178.62,29232255.0,5907018140.0,3795811143.0,0.007701187940793186
2020-07-09,178.64,180.37,176.98,178.93,29524349.0,5988999450.0,3795811143.0,0.007778139609091716
2020-07-10,178.3,186.03,176.37,181.81,33547581.0,6923294758.0,3795811143.0,0.008838053247687619
2020-07-13,181.81,197.62,181.81,191.65,48880722.0,10648696887.0,3795811143.0,0.012877543207106814
2020-07-14,191.74,197.91,186.23,194.02,43873308.0,9589876575.0,3795811143.0,0.011558348491839074
2020-07-15,192.35,198.5,191.12,196.7,37169954.0,8289624150.0,3795811143.0,0.009792361263427588
2020-07-16,194.11,194.15,177.04,177.04,70573669.0,14817949982.0,3795811143.0,0.018592513257712412
2020-07-17,171.27,184.19,171.27,180.4,52976677.0,10785868982.0,3795811143.0,0.013956615596562624
2020-07-20,180.5,183.13,167.77,177.14,44290656.0,8808311369.0,3795811143.0,0.011668298113745224
2020-07-21,176.54,183.48,174.61,180.57,31785876.0,6514435743.0,3795811143.0,0.008373935056968665
2020-07-22,179.4,186.97,178.08,183.48,28066323.0,5873887495.0,3795811143.0,0.007394025135248938
2020-07-23,182.08,186.12,180.58,184.51,26541311.0,5547862013.0,3795811143.0,0.0069922633134543175
2020-07-24,182.69,183.53,173.91,176.89,40538626.0,8233915252.0,3795811143.0,0.010679832181524317
2020-07-27,178.64,181.64,176.9,179.27,24634688.0,5038945710.0,3795811143.0,0.006489966721718958
2020-07-28,180.84,190.54,179.77,187.96,38449712.0,8143034020.0,3795811143.0,0.010129511335385212
2020-07-29,188.27,189.26,183.58,188.82,30136414.0,6417584056.0,3795811143.0,0.007939387094001162
2020-07-30,187.96,191.52,187.08,190.0,25322564.0,5483434280.0,3795811143.0,0.0066711864858446145
2020-07-31,190.17,194.12,188.21,191.04,26231782.0,5707639443.0,3795811143.0,0.006910718424011961
2020-08-03,191.63,193.17,189.02,191.23,20145355.0,4369803364.0,3795811143.0,0.005307259566153816
2020-08-04,191.04,193.06,187.96,189.54,20676941.0,4483369687.0,3795811143.0,0.005447304995173728
2020-08-05,189.37,191.26,187.08,191.02,18671238.0,4024536334.0,3795811143.0,0.00491890594568498
2020-08-06,191.02,191.95,184.15,185.34,32304359.0,6855967077.0,3795811143.0,0.008510528522888632
2020-08-07,184.45,187.08,178.46,182.04,28723584.0,5960012764.0,3795811143.0,0.007567179429611575
2020-08-10,182.04,183.47,178.25,180.88,19152100.0,3941811352.0,3795811143.0,0.005045588223038735
2020-08-11,181.81,187.39,181.81,183.57,25009077.0,5285963734.0,3795811143.0,0.006588598868023292
2020-08-12,182.62,184.34,178.34,181.35,18024993.0,3701984355.0,3795811143.0,0.0047486537978162
2020-08-13,182.69,184.45,180.5,181.73,12320969.0,2555092633.0,3795811143.0,0.003245938360953908
2020-08-14,181.2,187.35,181.13,187.0,24431491.0,5144549732.0,3795811143.0,0.006436434817115452
2020-08-17,188.4,194.99,188.4,193.22,31515599.0,6913069145.0,3795811143.0,0.008302731040272938
2020-08-18,193.22,195.87,191.58,193.73,19038249.0,4208955658.0,3795811143.0,0.005015594370417812
2020-08-19,193.64,198.47,190.83,195.16,23847268.0,5300628769.0,3795811143.0,0.0062825222598278255
2020-08-20,193.23,194.04,189.72,190.11,18490663.0,4022580053.0,3795811143.0,0.004871333768567316
2020-08-21,193.23,194.09,190.11,191.83,15731861.0,3438178400.0,3795811143.0,0.004144532066357338
2020-08-24,193.21,198.77,192.52,197.62,23152218.0,5170962344.0,3795811143.0,0.006099412517584255
2020-08-25,198.5,207.94,198.49,206.93,28547871.0,6659413393.0,3795811143.0,0.007520888138137804
2020-08-26,206.76,210.68,203.95,207.86,26209992.0,6176301738.0,3795811143.0,0.00690497788551331
2020-08-27,209.9,209.9,203.02,209.11,21348858.0,5024119736.0,3795811143.0,0.00562432038784918
2020-08-28,207.27,215.07,204.83,211.24,32724152.0,7823482205.0,3795811143.0,0.008621122275892954
2020-08-31,212.56,216.68,210.8,210.8,31571514.0,7691010331.0,3795811143.0,0.008317461752074318
2020-09-01,208.59,210.62,204.74,207.5,30087024.0,7091377403.0,3795811143.0,0.007926375382369755
2020-09-02,206.58,210.61,205.35,206.41,19633125.0,4642766180.0,3795811143.0,0.005172313442465702
2020-09-03,206.76,213.43,206.57,209.6,27569574.0,6599198582.0,3795811143.0,0.007263157454722715
2020-09-04,205.53,205.53,198.74,202.21,37092062.0,8495154315.0,3795811143.0,0.0097718407482951
2020-09-07,201.44,205.05,197.71,199.28,23622659.0,5428172452.0,3795811143.0,0.006223349400183791
2020-09-08,199.5,201.44,191.12,194.93,35708526.0,7906064619.0,3795811143.0,0.009407350538461708
2020-09-09,192.19,193.81,189.72,190.6,22706135.0,4950173118.0,3795811143.0,0.0059818927087226794
2020-09-10,193.23,198.29,193.2,196.04,23154133.0,5168118228.0,3795811143.0,0.006099917021082416
2020-09-11,194.51,200.15,193.39,200.15,20470064.0,4597798171.0,3795811143.0,0.0053928036008191885
2020-09-14,201.21,203.28,196.9,202.09,20749216.0,4747190669.0,3795811143.0,0.00546634572119438
2020-09-15,202.02,203.25,200.26,202.31,12036547.0,2765306526.0,3795811143.0,0.003171007868027643
2020-09-16,202.67,203.94,197.62,198.52,18453747.0,4206118388.0,3795811143.0,0.004861608311053952
2020-09-17,195.04,198.5,192.27,195.56,22801632.0,5066620920.0,3795811143.0,0.006007051231210319
2020-09-18,195.56,201.59,193.95,201.59,19015650.0,4291299128.0,3795811143.0,0.005009640702242914
2020-09-21,200.26,201.62,197.16,197.54,13028469.0,2942680885.0,3795811143.0,0.0034323280345562755
2020-09-22,195.39,199.18,194.99,195.78,12091370.0,2711926528.0,3795811143.0,0.0031854508942833356
2020-09-23,190.25,194.54,186.61,192.63,25179488.0,5469429699.0,3795811143.0,0.006633493356600329
2020-09-24,191.55,194.44,189.61,189.98,16365237.0,3569684236.0,3795811143.0,0.00431139389802882
2020-09-25,190.61,192.74,190.04,190.77,11251653.0,2449369665.0,3795811143.0,0.0029642288765471384
2020-09-28,191.77,195.74,191.48,193.35,15264425.0,3363291339.0,3795811143.0,0.004021386845905047
2020-09-29,194.99,195.69,192.15,192.99,9972097.0,2199769865.0,3795811143.0,0.002627132021146501
2020-09-30,194.11,197.62,193.32,194.11,16234185.0,3608733492.0,3795811143.0,0.004276868471166717
2020-10-09,197.62,201.62,196.12,199.88,20893388.0,4736861701.0,3795811143.0,0.005504327589777562
2020-10-12,201.14,212.56,201.14,212.34,32455704.0,7713734278.0,3795811143.0,0.008550400106141423
2020-10-13,212.34,214.84,209.78,212.79,17191051.0,4169972230.0,3795811143.0,0.004528953194023542
2020-10-14,212.37,214.6,209.2,210.27,18319372.0,4414453298.0,3795811143.0,0.004826207445484597
2020-10-15,210.37,211.24,209.34,209.84,11176087.0,2673550250.0,3795811143.0,0.0029443211421648964
2020-10-16,209.83,211.52,206.62,208.06,11835750.0,2812810616.0,3795811143.0,0.0031181082393487245
2020-10-19,210.8,212.2,206.06,207.44,12290083.0,2920521351.0,3795811143.0,0.0032378014967010703
2020-10-20,207.29,211.68,206.41,211.66,17996331.0,4313854389.0,3795811143.0,0.004741102842586813
2020-10-21,211.66,214.05,210.53,212.35,13707691.0,3309649772.0,3795811143.0,0.0036112679170771907
2020-10-22,212.56,213.42,207.88,212.33,15041607.0,3620503900.0,3795811143.0,0.003962685822169736
2020-10-23,211.49,212.77,207.55,207.84,13452273.0,3217550682.0,3795811143.0,0.003543978478699566
2020-10-26,202.02,206.05,195.87,204.31,16000039.0,3696971910.0,3795811143.0,0.004215183105067353
2020-10-27,204.66,206.71,202.63,205.09,14302682.0,3339001552.0,3795811143.0,0.0037680172856798004
2020-10-28,206.41,212.56,205.02,210.78,17076230.0,4079939456.0,3795811143.0,0.004498703796549764
2020-10-29,209.74,222.89,209.47,219.58,34962748.0,8707106516.0,3795811143.0,0.009210876590758773
2020-10-30,216.9,219.58,213.67,214.62,23948951.0,5883433066.0,3795811143.0,0.006309310473511089
2020-11-02,217.01,220.5,214.75,215.81,15733705.0,3880439538.0,3795811143.0,0.004145017865026063
2020-11-03,217.91,219.93,215.63,219.93,16535083.0,4112229156.0,3795811143.0,0.004356139538315276
2020-11-04,219.8,222.22,218.09,222.22,12992837.0,3267104849.0,3795811143.0,0.0034229408446625658
2020-11-05,224.84,228.23,223.14,227.85,18968980.0,4898017532.0,3795811143.0,0.004997345569992706
2020-11-06,228.41,229.42,224.02,227.75,15116483.0,3901814024.0,3795811143.0,0.0039824117772236595
2020-11-09,229.24,237.15,228.89,237.15,20628388.0,5513207008.0,3795811143.0,0.0054345137897710205
2020-11-10,237.8,244.75,234.73,239.61,22308070.0,6085547698.0,3795811143.0,0.005877023160422289
2020-11-11,237.76,245.05,235.7,236.18,22787338.0,6218718171.0,3795811143.0,0.006003285501182797
2020-11-12,236.18,238.46,232.76,235.08,17623158.0,4716978361.0,3795811143.0,0.004642791049417603
2020-11-13,232.76,234.84,226.61,232.76,18843071.0,4950551088.0,3795811143.0,0.004964175057747334
2020-11-16,235.39,239.92,231.45,239.78,19577792.0,5269426372.0,3795811143.0,0.005157736057576034
2020-11-17,239.77,241.14,233.64,236.36,17947672.0,4847011187.0,3795811143.0,0.0047282837116641024
2020-11-18,235.38,236.73,227.49,231.63,19456273.0,5134604862.0,3795811143.0,0.0051257220833760535
2020-11-19,230.42,233.9,228.37,232.49,12448246.0,3287372159.0,3795811143.0,0.0032794692704762947
2020-11-20,234.11,237.59,232.58,235.8,11122604.0,2984187158.0,3795811143.0,0.002930231136633765
2020-11-23,238.47,243.97,238.47,239.41,15634214.0,4282239109.0,3795811143.0,0.004118807130020588
2020-11-24,239.41,239.43,234.51,238.72,12503527.0,3370155284.0,3795811143.0,0.003294032956054263
2020-11-25,238.73,239.25,230.83,230.97,16559440.0,4404834698.0,3795811143.0,0.004362556348604934
2020-11-26,230.27,232.91,221.95,228.87,19905229.0,5158676273.0,3795811143.0,0.005243998779209022
2020-11-27,228.87,230.39,226.7,230.39,11259290.0,2933632286.0,3795811143.0,0.0029662408312288364
2020-11-30,228.94,230.11,222.79,223.1,21174104.0,5419775806.0,3795811143.0,0.005578281743296942
2020-12-01,223.97,227.38,223.97,226.6,13648057.0,3509920228.0,3795811143.0,0.0035955574410410016
2020-12-02,228.37,230.11,225.82,228.85,11637763.0,3028626146.0,3795811143.0,0.0030659489003981777
2020-12-03,228.42,230.12,227.46,229.8,9208685.0,2403046139.0,3795811143.0,0.002426012426087659
2020-12-04,228.8,235.39,228.5,234.68,17051140.0,4536004928.0,3795811143.0,0.004492093878654805
2020-12-07,234.7,241.72,234.7,237.36,19621618.0,5339342748.0,3795811143.0,0.0051692819428556065
2020-12-08,238.51,240.71,235.87,238.91,14777562.0,4019960930.0,3795811143.0,0.003893123615291521
2020-12-09,239.78,240.66,236.71,236.9,11677649.0,3166929095.0,3795811143.0,0.0030764567993682187
2020-12-10,236.27,238.91,234.78,235.1,13410208.0,3611981640.0,3795811143.0,0.0035328965258796595
2020-12-11,236.14,237.14,231.35,234.97,15005255.0,3995342179.0,3795811143.0,0.00395310894949865
2020-12-14,235.83,240.22,233.71,239.92,18174424.0,4937790460.0,3795811143.0,0.004788021141019133
2020-12-15,239.92,240.05,234.79,237.85,14611814.0,3949335198.0,3795811143.0,0.003849457586146298
2020-12-16,239.78,241.54,238.91,240.95,16025487.0,4392611714.0,3795811143.0,0.004221887337454397
2020-12-17,241.14,245.93,240.85,244.01,19976098.0,5547260941.0,3795811143.0,0.005262669096917185
2020-12-18,243.21,245.65,240.73,243.17,15082525.0,4179755004.0,3795811143.0,0.00397346559978735
2020-12-21,241.81,247.67,241.81,247.61,16188978.0,4537599926.0,3795811143.0,0.004264958763782205
2020-12-22,248.55,252.96,247.66,248.02,18706371.0,5338602867.0,3795811143.0,0.004928161674876036
2020-12-23,248.57,253.4,241.54,244.43,25221586.0,7103972924.0,3795811143.0,0.006644584003214198
2020-12-24,242.42,244.97,239.22,241.82,15616076.0,4293939904.0,3795811143.0,0.0041140287047205185
2020-12-25,239.43,243.67,238.47,242.35,11111390.0,3051169983.0,3795811143.0,0.0029272768273761293
2020-12-28,242.42,251.34,242.4,251.16,19381209.0,5490499481.0,3795811143.0,0.005105946600041371
2020-12-29,251.27,251.78,245.21,246.81,14658930.0,4136060906.0,3795811143.0,0.0038618702163391587
2020-12-30,248.47,252.61,247.04,251.97,16882539.0,4826857468.0,3795811143.0,0.004447676231504229
2020-12-31,252.97,258.64,252.96,256.34,16003830.0,4661694422.0,3795786270.0,0.004216209465344844
