SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
002334.SZ,002334,英威腾,10148399,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-22 00:00:00,2025-10-22 00:00:00,CNY,2033640049.41,,,,,,,,,,,,121209164.69,85991828.1,,0.0,2240841042.2,740782250.35,,,,,,848781066.43,126287396.54,249802434.75,,0.0,1965653148.07,,0.0,275187894.13,,,104726.89,,,51471764.72,,0.0,51576491.61,549020422.25,,,,,81307500.0,,0.0,630327922.25,,0.0,-578751430.64,15851367.4,,416124991.97,,174408150.85,,0.0,606384510.22,65790000.0,58458703.81,,,219636980.8,,,0.0,343885684.61,,0.0,262498825.61,3168187.02,,0.0,-37896523.88,1040763944.55,,0.0,1002867420.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.2178974961,,,,,,,,,,,,21.4193420811,20.8009955453,,,-5.1639078515,-23.0083033806,,,,,,3.1517768861,9.3544664775,-3.2981959794,,,-8.9474713144,,,34.8665845507,,,-16.5009086467,,,-83.5774798086,,,-83.550648349,276.7228201502,,,,,-66.3573955669,,,62.7005112938,,,-683.4855640487,-67.4415102003,,,,-17.9209039044,,,132.1766920245,8.1591865187,2.5653513034,,,-18.9612483646,,,,-11.5635580484,,,305.5961240134,-50.4502901893,,,-526.1506923944,12.8281764167,,,7.681741745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002334.SZ,002334,英威腾,10148399,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-20 00:00:00,2025-08-20 00:00:00,CNY,1298060574.48,,,,,,,,,,,,76441443.83,59488652.4,,0.0,1433990670.71,514175414.22,,,,,,592074733.16,79672070.34,158243297.91,,0.0,1344165515.63,,0.0,89825155.08,,,53782.8,,,45247746.85,,0.0,45301529.65,381658079.67,,,,,81000000.0,,0.0,462658079.67,,0.0,-417356550.02,12832826.01,,265904991.97,,123577981.37,,0.0,402315799.35,13990000.0,54145102.7,,,64346585.2,,,0.0,132481687.9,,0.0,269834111.45,5101225.15,,0.0,-52596058.34,1040763944.55,,0.0,988167886.21,113531075.32,7616697.55,46183276.98,46183276.98,,5697477.15,12348241.68,,,,147537.16,980139.54,-180381.84,6823372.08,-6408900.78,788224.36,2267799.85,-1479575.49,,-38085955.52,-2917291.97,-79217266.89,2411732.17,,0.0,89825155.08,,,,,988167886.21,1040763944.55,,,,,-52596058.34,-7.1110699979,,,,,,,,,,,,17.0518732262,17.395862576,,,-5.2478438599,-22.7031615803,,,,,,0.821101941,-9.4644345342,-9.2748075381,,,-11.268590896,,,6261.5147698302,,,-48.7657406399,,,-81.7414121755,,,-81.7274496848,323.0767174638,,,,,-66.1795407098,,,40.3226743724,,,-410.2849787402,-72.0660175759,,,,-32.3368574787,,,76.0089431107,-77.0003493024,-0.3434364256,,,-67.7303367258,,,,-57.8836826674,,,413.8170919667,-22.1667713468,,,67.6684570153,12.8281764167,,,30.0639457704,28.1189362396,76.8903025492,10.0547747095,10.0547747095,,13.5824300475,67.3358891181,,,,-60.1276426451,128.0700802392,-146.4626119011,-32.5741269251,-110.3982416804,-7.2057030116,-5.3959381323,4.4026865125,,-334.5483771912,-129.1565689003,60.3525124375,210.333446054,,,6261.5147698302,,,,,30.0639457704,12.8281764167,,,,,67.6684570153,,,,,20107178.09,34.6297647038
002334.SZ,002334,英威腾,10148399,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-16 00:00:00,2025-04-16 00:00:00,CNY,623271911.51,,,,,,,,,,,,42954337.65,21092679.81,,0.0,687318928.97,293557047.02,,,,,,250179921.57,42064117.52,73081287.85,,0.0,658882373.96,,0.0,28436555.01,,,15165.8,,,43125634.91,,0.0,43140800.71,170160210.78,,,,,1000000.0,,0.0,171160210.78,,0.0,-128019410.07,7837275.24,,61604991.97,,69549233.33,,0.0,138991500.54,3700000.0,2789169.65,,,37293379.52,,,0.0,43782549.17,,0.0,95208951.37,2932240.2,,0.0,-1441663.49,1040763944.55,,0.0,1039322281.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.6877297507,,,,,,,,,,,,18.1146971119,3.1191876694,,,-13.6602916325,-0.6019616118,,,,,,4.4376177306,-3.5997361711,-13.8901509493,,,-0.6793589809,,,-78.5666538282,,,-78.6899020897,,,-65.0936735587,,,-65.101500947,136.1914757527,,,,,-99.1567934017,,,-10.2172682403,,,-91.0158594731,-79.1838599236,,,,112.8829697377,,,97.6552530072,825.0,-7.6273559958,,,-62.0170450221,,,,-56.9086317318,,,404.3392376242,11.1344715264,,,-103.8954724801,12.8281764167,,,8.3257753016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002334.SZ,002334,英威腾,10148399,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-08 00:00:00,2025-04-08 00:00:00,CNY,3031768717.79,,,,,,,,,,,,126431291.83,99487937.2,,0.0,3257687946.82,1284209191.43,,,,,,1053912227.74,156297402.87,348170995.7,,0.0,2842589817.74,,0.0,415098129.08,30441190.0,,166277.54,,,416930102.2,,0.0,447537569.74,300459457.09,,,,,243180721.89,,0.0,543640178.98,,0.0,-96102609.24,58431218.04,,61900000.0,,292112712.25,,0.0,412443930.29,60827010.74,59673184.57,,,503208531.83,,,0.0,623708727.14,,0.0,-211264796.85,10600565.46,,0.0,118331288.45,922432656.1,,0.0,1040763944.55,212183776.08,52780850.57,85730904.59,85730904.59,,10567601.91,16155472.2,,,,614430.94,813853.78,720044.28,13312833.88,-30878921.76,-25985140.48,-25141148.17,-843992.31,,137022397.61,110615720.83,-207591398.08,8820014.39,,0.0,415098129.08,,,,,1040763944.55,922432656.1,,,,,118331288.45,-9.3917513317,,,,,,,,,,,,-27.1198447432,-29.8026662212,,,-11.0218623017,-19.2334958772,,,,,,16.8547124924,-12.4169949012,-8.9695100532,,,-6.8876534394,,,-31.7679782919,-23.9394881006,,-88.0048578303,,,77.4729169731,,,61.9549628407,9.6863782234,,,,,-45.582285055,,,-24.5786209219,,,78.3781189421,-80.9722992906,,-21.3659026754,,85.1310487867,,,-24.1260617914,-22.302879338,-3.4131232201,,,68.0633374588,,,,41.9180198154,,,-302.9327500089,301.6489545705,,,-56.2769911309,41.5220779608,,,12.8281764167,-35.3393337473,0.0938391359,12.7865613149,12.7865613149,,-23.5337228041,104.1846797927,,,,-66.5580332812,-11.0454509564,47.8126246964,5.2318984634,-39.1128258185,-192.9510892331,-180.9606397995,72.7553750334,,75.9306026869,0.005424035,-52.6000458404,-63.6486064712,,,-31.7679782919,,,,,12.8281764167,41.5220779608,,,,,-56.2769911309,标准无保留意见,,,,30215688.34,-3.6729896889
002334.SZ,002334,英威腾,10148399,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-22 00:00:00,2025-10-22 00:00:00,CNY,2191845188.38,,,,,,,,,,,,99826899.58,71184701.51,,0.0,2362856789.47,962158626.03,,,,,,822846772.06,115484443.03,258322414.23,,0.0,2158812255.35,,0.0,204044534.12,,,125422.79,,,313421838.55,,0.0,313547261.34,145735907.91,,,,,241680159.34,,0.0,387416067.25,,0.0,-73868805.91,48685818.96,,,,212487903.92,,0.0,261173722.88,60827010.74,56996542.27,,,271027102.92,,,0.0,388850655.93,,0.0,-127676933.05,6393956.76,,0.0,8892751.92,922432656.1,,0.0,931325408.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.8077206186,,,,,,,,,,,,-27.4105679431,-36.4147295464,,,-12.7102616087,-20.6029934181,,,,,,19.3844147182,-11.9872493389,-10.2757328724,,,-6.9555284926,,,-47.2369255076,,,-86.0251808783,,,54.9480913111,,,54.3253583457,-39.6768196119,,,,,-24.4074569341,,,-30.9795459165,,,79.3739353041,-83.8086822626,,,,87.8242445137,,,-46.1876023917,27.0210622115,-2.7750299126,,,-0.735293896,,,,2.4516816666,,,-220.6824619097,2273.841221471,,,-93.3956661301,41.5220779608,,,18.4222794027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002334.SZ,002334,英威腾,10148399,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-13 00:00:00,2025-08-20 00:00:00,CNY,1397433014.3,,,,,,,,,,,,65305613.42,50673551.09,,0.0,1513412178.81,665195918.4,,,,,,587252789.11,88000853.51,174420459.87,,0.0,1514870020.89,,0.0,-1457842.08,,,104974.29,,,247816245.62,,0.0,247921219.91,90210135.4,,,,,239500000.0,,0.0,329710135.4,,0.0,-81788915.49,45939837.06,,,,182637070.59,,0.0,228576907.65,60827010.74,54331697.54,,,199402716.58,,,0.0,314561424.86,,0.0,-85984517.21,6554045.41,,0.0,-162677229.37,922432656.1,,0.0,759755426.73,88613813.58,4305887.57,41963901.25,41963901.25,,5016160.64,7379314.59,,,,370023.67,429753.67,388230.09,10119812.72,-3046080.96,849431.9,2397148.5,-1547716.6,,16237995.75,10005607.93,-199804002.12,777142.2,,0.0,-1457842.08,,,,,759755426.73,922432656.1,,,,,-162677229.37,-14.9326063109,,,,,,,,,,,,-24.6136263668,-42.5225277765,,,-16.7323275631,-18.0595456033,,,,,,21.6673019918,-12.9872311418,-13.5821933483,,,-5.1691635518,,,-100.6624081181,,,-88.0701686797,,,61.5566086138,,,60.7031759567,-52.6338348269,,,,,63.6973471472,,,-2.0932281444,,,55.1808450423,-84.6127784299,,,,668.6312486943,,,-41.5801555995,35.4228249186,-1.3779403061,,,-14.0409020257,,,,-5.2471983144,,,-245.0365370401,1312.2093573585,,,-267.1150246836,41.5220779608,,,1.4171993933,-59.8624186535,139.9422279145,15.1270431749,15.1270431749,,-34.9806084773,104.0120199123,,,,515.0337479367,13.3223758981,-86.9659624294,198.5246383784,-35.591732411,144.7479022153,125.7078224061,-120.8409430843,,155.4185414792,140.196067735,-385.1326625886,-83.5054302095,,,-100.6624081181,,,,,1.4171993933,41.5220779608,,,,,-267.1150246836,,,,,14935165.44,-5.9876113477
002334.SZ,002334,英威腾,10148399,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-18 00:00:00,2025-04-16 00:00:00,CNY,739242235.64,,,,,,,,,,,,36366632.35,20454660.56,,0.0,796063528.55,295334849.44,,,,,,239549624.94,43634857.26,84869836.21,,0.0,663389167.85,,0.0,132674360.7,,,71167.2,,,123546758.73,,0.0,123617925.93,72043332.74,,,,,118594897.38,,0.0,190638230.12,,0.0,-67020304.19,37649992.8,,,,32670172.45,,0.0,70320165.25,400000.0,3019475.82,,,98184513.4,,,0.0,101603989.22,,0.0,-31283823.97,2638461.46,,0.0,37008694.0,922432656.1,,0.0,959441350.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.1132616845,,,,,,,,,,,,-27.2225318087,-60.3272010275,,,-10.4444420723,-27.6685878626,,,,,,24.1461467511,5.4703474559,-14.9987510601,,,-10.6525774532,,,-9.3890202193,,,622.7701354295,,,173.8313363931,,,173.9292907687,43.9274597174,,,,,-19.6299509266,,,-3.5311542548,,,56.0490004873,-18.2840792212,,,,,,,-6.8289240948,-98.8028036776,-19.2337488315,,,70.3755759833,,,,7.2018423075,,,-62.0590354415,167.2607580827,,,226.3377875957,41.5220779608,,,54.1269452588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002334.SZ,002334,英威腾,10148399,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-09 00:00:00,2025-04-08 00:00:00,CNY,3346018450.14,,,,,,,,,,,,173478351.39,141726091.07,,0.0,3661222892.6,1590026961.52,,,,,,901899636.96,178456314.32,382477339.08,,0.0,3052860251.88,,0.0,608362640.72,40022331.22,,1386207.33,,,234926043.54,,0.0,276334582.09,273925953.21,,,,,446877863.46,,0.0,720803816.67,,0.0,-444469234.58,307085017.43,245013600.0,78719031.7,,157786991.52,,0.0,543591040.65,78287342.21,61781876.13,,,299416005.56,,,0.0,439485223.9,,0.0,104105816.75,2639261.31,,0.0,270638484.2,651794171.9,,0.0,922432656.1,328149690.34,52731367.91,76011630.81,76011630.81,,13819950.83,7912186.27,,,,1837305.04,914909.68,487133.14,12650949.07,-22197034.37,27955713.8,31053544.33,-3097830.53,,77884345.03,110609721.32,-136036261.94,24263208.46,,0.0,608362640.72,,,,,922432656.1,651794171.9,,,,,270638484.2,25.7446533887,,,,,,,,,,,,32.6818855398,2.6170928157,,,24.9640060569,6.8395357539,,,,,,21.1546851581,10.9117019434,27.547534761,,,13.3447801187,,,157.3513764795,884.4986463317,,2.448388239,,,25.4751667524,,,42.9958338253,33.534294919,,,,,142.2426720505,,,82.7546909409,,,-120.9487259968,32.7915684319,130.0178585369,-72.5998336203,,-6.024620987,,,-20.8112546615,-69.824740355,486.7364027132,,,-29.8410700286,,,,-36.9226456719,,,1111.6955190302,-77.0700722722,,,642.498744394,5.9234607868,,,41.5220779608,26.0287480542,-17.2470902667,47.1372744704,47.1372744704,,-0.8902164229,18.991670725,,,,86.8211744956,60.1156278462,-34.1696618491,19.230143256,-1835.9909877517,280.6629931327,300.6826334743,,,147.8275749334,110.7010087792,-114.4189503217,-63.3991018684,,,157.3513764795,,,,,41.5220779608,5.9234607868,,,,,642.498744394,标准无保留意见,,,,31367825.33,11.756881411
002334.SZ,002334,英威腾,10148399,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-24 00:00:00,2024-10-22 00:00:00,CNY,2457438248.67,,,,,,,,,,,,137522634.84,111951558.91,,0.0,2706912442.42,1211832369.32,,,,,,689241367.06,131213309.62,287906964.86,,0.0,2320194010.86,,0.0,386718431.56,1.0,,897491.33,,,202275378.74,,0.0,203172871.07,241591883.87,,,,,319714286.01,,0.0,561306169.88,,0.0,-358133298.81,300690899.59,245013600.0,71519031.7,,113131243.77,,0.0,485341175.06,47887342.21,58623357.99,,,273034710.48,,,0.0,379545410.68,,0.0,105795764.38,269350.65,,0.0,134650247.78,651794171.9,,0.0,786444419.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7453141414,,,,,,,,,,,,45.732532711,5.4224463831,,,31.9284971871,10.7372370975,,,,,,19.6741493271,21.4569192209,31.2319867197,,,16.1442123185,,,614.5709378588,,,30.8282210467,,,46.1410948536,,,45.7721376934,49.5880796059,,,,,142.1007586593,,,88.1285312131,,,-125.2607593836,42.748401704,130.0178585369,-71.6390135068,,-23.8133581057,,,-20.6063988568,-70.8909845368,293.1603597617,,,-29.1829683496,,,,-32.8203308613,,,128.3055724643,-98.0160676288,,,399.5490726478,5.9234607868,,,37.8775209984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002334.SZ,002334,英威腾,10148399,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-18 00:00:00,2024-08-13 00:00:00,CNY,1642736369.01,,,,,,,,,,,,86627874.87,88162455.88,,0.0,1817526699.76,811804039.04,,,,,,482671004.86,101135562.82,201833935.19,,0.0,1597444541.91,,0.0,220082157.85,1.0,,879931.05,,,153392824.81,,0.0,154272756.86,190452689.32,,,,,146306586.01,,0.0,336759275.33,,0.0,-182486518.47,298558364.49,245013600.0,68946159.09,,23761338.21,,0.0,391265861.79,44916365.3,55090816.1,,,231973951.89,,,0.0,331981133.29,,0.0,59284728.5,464098.71,,0.0,97344466.59,651794171.9,,0.0,749138638.49,220775170.32,1794551.8,36450081.66,36450081.66,,7714868.63,3617097.95,,,,-89155.08,379231.08,2978586.55,-10271352.31,-2246509.36,-1898260.83,-9324587.91,7426327.08,,6357406.81,-24892006.84,-41185435.97,4711503.3,,0.0,220082157.85,,,,,749138638.49,651794171.9,,,,,97344466.59,48.0769190013,,,,,,,,,,,,63.4173094588,94.5803975717,,,50.4949242565,11.9438231933,,,,,,15.9197002317,66.4363659489,85.2777775806,,,21.8238678787,,,312.4874352334,,,66.3735835677,,,84.9252478781,,,84.1899014968,45.668394201,,,,,73.3720422734,,,53.1191669088,,,-34.0084744531,167.4376882605,518.7212121212,-70.0742439224,,-83.5925691285,,,-19.6328334624,-60.7049833123,528.3492460508,,,12.8031743742,,,,0.992707284,,,-62.5088605585,-94.0114222663,,,231.7783440396,5.9234607868,,,38.3515671385,274.0227729043,-85.1005301768,9.8171241703,9.8171241703,,11.0554734588,-55.8039725224,,,,-230.8431838034,576.0857210469,135.6636184066,-416.1788948449,-163.1025574979,-232.5464417354,-751.0912139084,,,103.6889123357,91.0158097104,-121.1970876436,-65.6996199073,,,312.4874352334,,,,,38.3515671385,5.9234607868,,,,,231.7783440396,,,,,15886380.14,12.3035631485
002334.SZ,002334,英威腾,10148399,通用,2023-03-31 00:00:00,一季报,2023一季报,058001001,2023-04-18 00:00:00,2024-04-18 00:00:00,CNY,787376629.44,,,,,,,,,,,,49969631.06,51558400.44,,0.0,888904660.94,408307871.66,,,,,,192957760.84,41371682.48,99845399.06,,0.0,742482714.04,,0.0,146421946.9,,,9846.45,,,45117830.69,,0.0,45127677.14,50055307.64,,,,,147561061.3,,0.0,197616368.94,,0.0,-152488691.8,46074244.09,,29400000.0,,,,0.0,75474244.09,33411395.65,3738536.55,,,57628279.66,,,0.0,94778211.86,,0.0,-19303967.77,-3922735.24,,0.0,-29293447.91,651794171.9,,0.0,622500723.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.7536382932,,,,,,,,,,,,84.6159553799,83.2418033809,,,67.6445162465,13.3382749799,,,,,,18.6702059185,27.4162637984,81.9536961059,,,21.6786385913,,,283.1010237117,,,-91.8613403064,,,38.291106507,,,37.8102476044,-23.834803284,,,,,153.0196524348,,,55.512339855,,,-61.6576629861,-16.602969223,,-75.2941176471,,,,,-62.5276275547,-52.2694347857,14.4846372015,,,-59.4552320991,,,,-55.9990693439,,,-38.0093764688,-454.785387231,,,84.5000427193,5.9234607868,,,46.0056103499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
