SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
002706.SZ,002706,良信股份,10164572,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-25 00:00:00,2025-10-25 00:00:00,CNY,2366750445.42,,,,,,,,,,,,2000899.11,60340117.03,,0.0,2429091461.56,968764565.5,,,,,,575658984.15,164949120.98,376632020.54,,0.0,2086004691.17,,0.0,343086770.39,0.0,3085461.37,1000075.25,0.0,,867583477.79,,0.0,871669014.41,166382313.59,0.0,,,,644000000.0,,0.0,810382313.59,,0.0,61286700.82,24405000.0,24405000.0,170010000.0,,,,0.0,194415000.0,23992.0,239850101.18,,,0.0,,,0.0,239874093.18,,0.0,-45459093.18,258800.56,,0.0,359173178.59,562228905.23,,0.0,921402083.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2870916648,,,,,,,,,,,,-66.1792879995,-23.7171503093,,,4.1224307094,5.0985479781,,,,,,-11.3206785418,11.14144116,17.2008398452,,,2.2208392002,,,17.4013312512,-100.0,-48.7405739414,1177.6626690332,,,-39.7511473757,,,-40.0128617409,-23.7883867436,-100.0,,,,-53.6690647482,,,-50.0478203087,,,136.2165224998,,,240.02,,,,,288.83,-99.988004,-14.3750008444,,,-100.0,,,,-61.9324155724,,,92.1639399147,144.6861867526,,,178.4743570373,-43.7054516967,,,70.304503678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002706.SZ,002706,良信股份,10164572,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-23 00:00:00,2025-08-23 00:00:00,CNY,1464979034.45,,,,,,,,,,,,1738702.2,47992500.56,,0.0,1514710237.21,584794307.39,,,,,,469801243.82,116561532.11,172645231.8,,0.0,1343802315.12,,0.0,170907922.09,,2214425.75,,,,660000000.0,,0.0,662214425.75,109329892.52,,,,,440000000.0,,0.0,549329892.52,,0.0,112884533.23,24000000.0,,160000000.0,,,,0.0,184000000.0,,238780445.79,,,,,,0.0,238780445.79,,0.0,-54780445.79,1406050.23,,0.0,230418059.76,562228905.23,,0.0,792646964.99,249166619.6,14378458.27,60675944.87,60675944.87,,7502552.12,20732521.83,,,,-14229.81,897538.55,15153.16,-1956772.31,-4261308.78,-1595572.38,-1595572.38,,,-88932785.24,-359359982.19,253504982.49,17903020.5,,0.0,170907922.09,,,,,792646964.99,562228905.23,,,,,230418059.76,0.4551888451,,,,,,,,,,,,-65.6511253401,-31.5354141223,,,-1.2253508341,-7.6908143891,,,,,,-0.2818703576,10.170424592,-13.0912025468,,,-4.6338834299,,,37.3827884647,,-50.0170838059,,,,-37.7358490566,,,-37.7915404863,-12.4053024195,,,,,-53.6842105263,,,-49.54783726,,,564.4550121189,,,220.0,,,,,268.0,,-14.4156068003,,,,,,,-36.9972416722,,,83.34940791,252.978291029,,,200.8377984153,-43.7054516967,,,2.911302326,5.2635656111,578.3495675277,23.3081194406,23.3081194406,,19.5591056065,-2.5074295291,,,,-110.2854990525,-23.3014402089,-98.9363103059,-1793.5979072583,5.0634598879,-310.1047933573,-201.5777042527,,,-1901.8365546984,-1827.27043801,230.1925683658,-27.5405071293,,,37.3827884647,,,,,2.911302326,-43.7054516967,,,,,200.8377984153,,,,,2251781.41,-25.5307499972
002706.SZ,002706,良信股份,10164572,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-26 00:00:00,2025-04-26 00:00:00,CNY,781466387.8,,,,,,,,,,,,685148.64,20486561.3,,0.0,802638097.74,357865246.5,,,,,,243086989.08,35956670.32,111840196.69,,0.0,748749102.59,,0.0,53888995.15,,1705064.11,,,,320000000.0,,0.0,321705064.11,62258339.48,,,,,50000000.0,,0.0,112258339.48,,0.0,209446724.63,24000000.0,,110000000.0,,,,0.0,134000000.0,,252958.33,,,,,,0.0,252958.33,,0.0,133747041.67,427116.51,,0.0,397509877.96,562228905.23,,0.0,959738783.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3000090828,,,,,,,,,,,,,45.8314619366,,,10.0979448965,16.030517905,,,,,,-11.0162976781,-12.0847738936,43.9547425564,,,6.9343186034,,,86.9422731592,,-11.3534529929,,,,-25.5813953488,,,-25.5180354884,6.0822842085,,,,,-88.3720930233,,,-77.0286618329,,,468.9697508683,,,,,,,,,,-57.8402783333,,,,,,,-99.7485503678,,,232.9493455964,383.0058351546,,,408.8902970036,-43.7054516967,,,10.3100567465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002706.SZ,002706,良信股份,10164572,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-29 00:00:00,2025-03-29 00:00:00,CNY,3030481930.41,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,2097821.27,106823911.01,0.0,0.0,3139403662.69,1257865873.48,0.0,0.0,0.0,0.0,0.0,873716521.95,198263797.08,353150292.64,0.0,0.0,2682996485.15,,0.0,456407177.54,6995600.0,7824524.8,678477.0,0.0,,1820000000.0,,0.0,1835498601.8,283481757.21,14000000.0,0.0,0.0,,1710000000.0,,0.0,2007481757.21,,0.0,-171983155.41,0.0,0.0,70000000.0,,0.0,,0.0,70000000.0,250000000.0,284374287.81,0.0,,257375191.08,,,0.0,791749478.89,,0.0,-721749478.89,827269.98,,0.0,-436498186.78,998727092.01,,0.0,562228905.23,312068599.55,11384746.54,111148518.22,111148518.22,,12186081.67,42680066.3,,,,1905585.51,2939318.65,126544.45,1113176.42,-9389291.39,-2689888.4,-2689888.4,,,-20815968.13,-46020221.12,-16199524.0,48695762.12,,0.0,456407177.54,,,,,562228905.23,998727092.01,,,,,-436498186.78,-3.0599429942,,,,,,,,,,,,-96.2564434676,-22.2275494902,,,-5.4263359974,5.5325933126,,,,,,-6.0662831887,-32.0787635048,27.1633919473,,,-0.3225892294,,,-27.306694184,,-33.3321285526,-53.0508872147,,,-16.1290322581,,,-15.925523047,-25.5056964012,75.0,,,,-14.5,,,-15.9536588263,,,16.2527705039,-100.0,,-82.5,,,,,-86.1280455197,-57.9337035167,21.9118102412,,,3326.7678443858,,,,-5.1879947502,,,-118.4089985747,-59.9243083053,,,-563.8672783228,10.4020520016,,,-43.7054516967,-38.9264049434,-80.1826741469,22.9712085123,22.9712085123,,22.4992335832,5.8763810679,,,,206.0065122265,-44.3816424186,102.1625334755,-67.0938395738,-21.1483832392,68.7404503343,61.6535177111,,,-219.1185337354,-193.536128675,92.2229308922,-25.8672482146,,,-27.306694184,,,,,-43.7054516967,10.4020520016,,,,,-563.8672783228,标准无保留意见,,,,7273671.15,-4.8038066232
002706.SZ,002706,良信股份,10164572,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-26 00:00:00,2025-10-25 00:00:00,CNY,2247901815.88,,,,,,,,,,,,5916194.52,79100501.98,,0.0,2332918512.38,921767792.36,,,,,,649146807.49,148413696.33,321356076.49,,0.0,2040684372.67,,0.0,292234139.71,6995600.0,6019305.34,78273.81,0.0,,1440000000.0,,0.0,1453093179.15,218316220.43,14000000.0,,,,1390000000.0,,0.0,1622316220.43,,0.0,-169223041.28,0.0,,50000000.0,,,,0.0,50000000.0,200000000.0,280116909.25,,,150010000.0,,,0.0,630126909.25,,0.0,-580126909.25,-579151.14,,0.0,-457694961.96,998727092.01,,0.0,541032130.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.5553570077,,,,,,,,,,,,-75.5949805755,-69.0365814284,,,-15.6297386988,-19.3328668635,,,,,,-0.1027483535,-34.0575688458,-26.8762777723,,,-16.9450686665,,,-5.1391138342,,-46.9648713948,-62.7267571429,,,-27.6381909548,,,-27.4019550775,-22.9299030601,75.0,,,,3.7313432836,,,-0.5488647362,,,-145.7001414313,-100.0,,-75.0,,,,,-83.5858521943,-59.5597403738,21.6083183119,,,,,,,-13.0739789211,,,-38.0318085822,-151.7233375695,,,-276.5861545532,10.4020520016,,,-53.5123090203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002706.SZ,002706,良信股份,10164572,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-24 00:00:00,2025-08-23 00:00:00,CNY,1458340829.67,,,,,,,,,,,,5061889.85,70098285.04,,0.0,1533501004.56,633516917.65,,,,,,471129217.43,105801110.0,198651042.08,,0.0,1409098287.16,,0.0,124402717.4,,4430365.25,78273.81,0.0,,1060000000.0,,0.0,1064508639.06,124813368.32,14000000.0,,,,950000000.0,,0.0,1088813368.32,,0.0,-24304729.26,0.0,,50000000.0,,,,0.0,50000000.0,100000000.0,278999986.87,,,0.0,,,0.0,378999986.87,,0.0,-328999986.87,398339.01,,0.0,-228503659.72,998727092.01,,0.0,770223432.29,236707371.78,2119623.71,49206771.74,49206771.74,,6275182.54,21265745.41,,,,138348.27,1170215.65,1424584.64,-103336.21,-4488586.56,759417.41,1570789.96,-811372.55,,-4442559.76,-18646058.96,-194715401.71,24707626.0,,0.0,124402717.4,,,,,770223432.29,998727092.01,,,,,-228503659.72,-9.0809546103,,,,,,,,,,,,-79.0969737193,-8.3846036112,,,-10.0442936088,-20.0198591704,,,,,,3.9328745922,-0.2366878513,-3.3092165182,,,-9.4931105082,,,-15.8490587385,,-51.752749594,-62.7267571429,,,-24.2857142857,,,-24.4703982168,-25.085547649,,,,,-4.0404040404,,,-5.8614935169,,,-109.6147919903,-100.0,,-75.0,,,,,-83.5858521943,-74.6386000507,21.0511645436,,,,,,,-39.3387505939,,,-2.7592610699,-60.2443869459,,,-380.5316636287,10.4020520016,,,-21.8904559924,-14.0859321886,-86.079500703,9.0701076371,9.0701076371,,21.9358087909,16.848493574,,,,-80.3000706273,6.8895719528,221.6312028399,97.753709923,23.1339703354,125.6912327522,157.2499105155,-282.3662722499,,-129.6741504168,93.9713724986,-414.4072304222,-19.2020487283,,,-15.8490587385,,,,,-21.8904559924,10.4020520016,,,,,-380.5316636287,,,,,3023773.45,-5.7856482664
002706.SZ,002706,良信股份,10164572,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-27 00:00:00,2025-04-26 00:00:00,CNY,714973762.91,,,,,,,,,,,,,14048108.02,,0.0,729021870.93,308423381.16,,,,,,273181473.39,40899252.51,77691220.66,,0.0,700195327.72,,0.0,28826543.21,,1923441.09,,,,430000000.0,,0.0,431923441.09,58688724.46,,,,,430000000.0,,0.0,488688724.46,,0.0,-56765283.37,,,,,,,,,100000000.0,600000.0,,,,,,0.0,100600000.0,,0.0,-100600000.0,-150921.45,,0.0,-128689661.61,998727092.01,,0.0,870037430.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1347643878,,,,,,,,,,,,,-15.5029466238,,,18.0898272397,-12.3784613159,,,,,,9.1227184598,-27.7652398991,-9.2983541456,,,-5.9653283654,,,122.6501247383,,-74.8362516882,,,,-33.8461538462,,,-34.3225758908,-29.627888634,,,,,7.5,,,1.0945483164,,,-132.5776688131,,,,,,,,,-22.3602484472,-84.4091169123,,,,,,,-24.1604137061,,,-239.7865568882,-50.5953658543,,,-208.2846744777,10.4020520016,,,-14.9915022418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002706.SZ,002706,良信股份,10164572,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-03-30 00:00:00,2025-03-29 00:00:00,CNY,3126140033.35,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,56038188.6,137354436.32,0.0,0.0,3319532658.27,1191921693.57,0.0,0.0,0.0,0.0,0.0,930141541.94,291902514.31,277713803.66,0.0,0.0,2691679553.48,,0.0,627853104.79,0.0,11736575.1,1445132.74,0.0,,2170000000.0,,0.0,2183181707.84,380541522.66,8000000.0,0.0,0.0,,2000000000.0,,0.0,2388541522.66,,0.0,-205359814.82,104615266.0,0.0,400000000.0,,0.0,,0.0,504615266.0,594300000.0,233262296.12,0.0,,7510727.39,,,0.0,835073023.51,,0.0,-330457757.51,2064268.75,,0.0,94099801.21,904627290.8,,0.0,998727092.01,510971393.22,57448450.03,90385806.21,90385806.21,,9947884.01,40311225.1,,,,622727.11,5284799.44,-5851675.89,3382881.52,-7750240.77,-8605013.28,-7014694.02,-1590319.26,,17475003.66,49200476.62,-208298573.35,65687244.77,,0.0,627853104.79,,,,,998727092.01,904627290.8,,,,,94099801.21,-17.8527058744,,,,,,,,,,,,44.7631702861,21.8801652092,,,-16.108522314,-45.1254159511,,,,,,9.5383877697,22.0157958122,18.0127826743,,,-23.0022205555,,,36.1499801148,,3203.5280068506,-41.7523232935,,,3994.3396226415,,,3809.9693149191,-21.2416949824,,,,,185.7142857143,,,101.8753564136,,,81.783685578,-93.0501817255,,52.4978106864,,,,,-71.4518541246,85.8930247107,-6.8125850562,,,-96.5350442705,,,,6.1383543915,,,-133.6921247931,-34.7402631531,,,-70.3890556303,54.1522738652,,,10.4020520016,21.1474963219,1668.3203377571,25.8180827258,25.8180827258,,28.7221112087,20.0792564898,,,,190.2051639955,33.3874273321,-39.7675935061,-35.077063279,-7583.5315804652,-301.0406591408,-214.3338874039,14.2701603314,,285.178379445,177.2679620129,-490.8399512279,322.317073675,,,36.1499801148,,,,,10.4020520016,54.1522738652,,,,,-70.3890556303,标准无保留意见,,,,7640716.39,4.3294676804
002706.SZ,002706,良信股份,10164572,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-28 00:00:00,2024-10-26 00:00:00,CNY,2485389672.08,,,,,,,,,,,,24241711.99,255464369.34,,0.0,2765095753.41,1142680738.14,,,,,,649814481.17,225065551.47,439468980.38,,0.0,2457029751.16,,0.0,308066002.25,,11349657.29,210000.0,0.0,,1990000000.0,,0.0,2001559657.29,283269684.48,8000000.0,,,,1340000000.0,,0.0,1631269684.48,,0.0,370289972.81,104615266.0,,200000000.0,,,,0.0,304615266.0,494556666.67,230343543.22,,,0.0,,,0.0,724900209.89,,0.0,-420284943.89,1119709.53,,0.0,259190740.7,904627290.8,,0.0,1163818031.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0300482796,,,,,,,,,,,,-1.0884985892,309.2319667029,,,24.0533884635,11.6305370516,,,,,,10.3515956704,12.0373395778,51.3391049776,,,16.7924708443,,,146.0605345564,,,-83.7295354164,,,,,,154977.6453137273,-16.0459081009,,,,,168.0,,,94.7993527491,,,144.2867265972,-93.0501817255,,-16.6666666667,,,,,-82.5464882155,138.7194134802,-1.7663117544,,,,,,,64.1323212378,,,-132.239365474,13.3749727905,,,-56.3436139977,54.1522738652,,,-1.4170036556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002706.SZ,002706,良信股份,10164572,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-12 00:00:00,2024-08-24 00:00:00,CNY,1603999275.86,,,,,,,,,,,,24216062.22,76513651.42,,0.0,1704728989.5,792092775.88,,,,,,453301440.26,106052122.49,205449821.51,,0.0,1556896160.14,,0.0,147832829.36,,9182627.43,210000.0,0.0,,1400000000.0,,0.0,1409392627.43,166607863.24,0.0,,,,990000000.0,,0.0,1156607863.24,,0.0,252784764.19,104615266.0,,200000000.0,,,,0.0,304615266.0,394300000.0,230481043.22,,,0.0,,,0.0,624781043.22,,0.0,-320165777.22,1001969.23,,0.0,81453785.56,904627290.8,,0.0,986081076.36,275516429.16,15226635.66,45114809.92,45114809.92,,5146300.01,18199417.69,,,,702278.0,1094789.35,-1171232.88,-4600305.68,-5839493.18,-2955939.94,-2743742.21,-212197.73,,14971143.9,-309291940.09,61930955.42,30579520.41,,0.0,147832829.36,,,,,986081076.36,904627290.8,,,,,81453785.56,7.7367280596,,,,,,,,,,,,79.4996603477,88.5352147017,,,10.489492302,10.0914877373,,,,,,15.9598921151,-8.7220959168,8.7306119367,,,9.9862379743,,,16.0833019322,,,,,,,,,,-19.2143683114,,,,,,,,460.821650496,,,222.5715068858,,,1.6108853461,,,,,54.7611343409,173.8194444444,2231.1590167043,,,,,,,305.9999585474,,,-845.5714488364,129.1440190374,,,329.4196005938,54.1522738652,,,78.8530919018,28.3602375416,91.8368640344,31.9338792548,31.9338792548,,15.6264231713,19.5263707832,,,,32.3139071793,761.6035788534,-298.3992094284,-211.9260977144,-2394.5847853703,-878.4172685742,-455.6445068649,45.833006273,,117.2322985555,-234.3692169838,119.6287786967,116.0167436342,,,16.0833019322,,,,,78.8530919018,54.1522738652,,,,,329.4196005938,,,,,3209461.61,-16.4764949424
002706.SZ,002706,良信股份,10164572,通用,2023-03-31 00:00:00,一季报,2023一季报,058001001,2023-04-27 00:00:00,2024-04-27 00:00:00,CNY,585397422.67,,,,,,,,,,,,15322209.86,16625559.66,,0.0,617345192.19,351994938.45,,,,,,250343354.02,56619904.95,85655800.32,,0.0,744613997.74,,0.0,-127268805.55,,7643698.65,,,,650000000.0,,0.0,657643698.65,83397703.04,,,,,400000000.0,,0.0,483397703.04,,0.0,174245995.61,104615266.0,,100000000.0,,,,0.0,204615266.0,128800000.0,3848402.92,,,,,,0.0,132648402.92,,0.0,71966863.08,-100216.53,,0.0,118843836.61,904627290.8,,0.0,1023471127.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.5338239732,,,,,,,,,,,,27.3619025065,181.0624802213,,,-10.1690629166,-35.4353648399,,,,,,6.4109488247,2.3256079479,30.2293230746,,,-17.4072889145,,,40.6171810037,,,,,,,,,,-1.3155547205,,,,,,,,472.0041731966,,,306.1851680819,,,42.8571428571,,,,,192.3075228571,103.8920121772,-11.5792424475,,,,,,,96.4490122843,,,2805.4856591682,-112.5566538666,,,140.0959064138,54.1522738652,,,252.3850536404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
