SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
600179.SH,600179,安通控股,10002392,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-25 00:00:00,2025-10-25 00:00:00,CNY,6496550411.36,,,,,,,,,,,,1290976.79,182934805.59,,0.0,6680776193.74,4417306849.32,,,,,,409784144.26,213594291.5,104353337.47,,0.0,5145038622.55,,0.0,1535737571.19,300000000.0,120065307.6,24755758.74,,,10393611704.56,,0.0,10838432770.9,804223181.58,500000000.0,,,,11356991360.21,,0.0,12661214541.79,,0.0,-1822781770.89,,,209000000.0,,169664750.0,,0.0,378664750.0,15800000.0,4829349.57,,,352469937.6,,,0.0,373099287.17,,0.0,5565462.83,-7077939.64,,0.0,-288556676.51,2692412974.43,,0.0,2403856297.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7636856107,,,,,,,,,,,,-64.2924470408,27.6333918238,,,28.667689134,8.9378621502,,,,,,10.8027085372,106.0542310334,-10.553184237,,,10.7640590298,,,180.639212769,,-12.2773988312,-62.8057075263,,,29.9687332355,,,32.1689727999,268.5002572096,6.8376068376,,,,49.7998871458,,,53.1410053012,,,-2610.5555594531,,,115.4639175258,,-57.5299271543,,,-23.8240849868,300.0,121.3065248997,,,-72.5070416504,,,,-71.0364720646,,,100.7035299784,-258.3385942508,,,7.8303245043,41.4110790248,,,51.1012883161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600179.SH,600179,安通控股,10002392,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-19 00:00:00,2025-08-19 00:00:00,CNY,4344181783.42,,,,,,,,,,,,1008726.58,117642474.52,,0.0,4462832984.52,2729952053.07,,,,,,284641217.87,161050364.84,68924647.42,,0.0,3244568283.2,,0.0,1218264701.32,300000000.0,96861622.46,15750751.0,,,7242831577.96,,0.0,7655443951.42,371153837.34,300000000.0,,,,8823044340.34,,0.0,9494198177.68,,0.0,-1838754226.26,,,140000000.0,,79976250.0,,0.0,219976250.0,7350000.0,2913239.14,,,160757389.29,,,0.0,171020628.43,,0.0,48955621.57,-1151012.97,,0.0,-572684916.34,2692412974.43,,0.0,2119728058.09,512065082.89,,142027788.22,142027788.22,,1757070.36,33919828.94,,,,-899555.18,-2035277.59,-25645682.45,23114876.73,-25768140.26,58702865.46,28216593.67,30486271.79,,-9110040.09,141116317.47,274707594.95,,,0.0,1218264701.32,,,,,2119728058.09,2692412974.43,,,,,-572684916.34,32.3142475738,,,,,,,,,,,,-65.8242879995,18.5474647755,,,31.8251401717,12.1976942259,,,,,,13.8089851259,72.5879943511,-16.2116875176,,,13.4923927987,,,131.3556259777,,-2.0809796104,-74.8396391526,,,32.1882863999,,,35.7179861857,89.60818048,-35.8974358974,,,,56.950150848,,,51.0538695468,,,-185.2521865409,,,44.3298969072,,-70.2164996107,,,-39.917777531,194.0,158.2408423751,,,-82.8185392987,,,,-81.7922262747,,,108.5415436497,-120.0343534291,,,16.4490454715,41.4110790248,,,73.9578193576,231.7849081764,,25.4732766326,25.4732766326,,-10.857105807,-11.060522945,,,,91.7577859992,27.7935022987,39.2163253399,-13.5127959659,41.9326654259,68.5363678482,593.2084292952,-24.8217918634,,-182.6678969568,1498.8916349633,128.9396828236,,,,131.3556259777,,,,,73.9578193576,41.4110790248,,,,,16.4490454715,,,,,96044747.46,-18.716385999
600179.SH,600179,安通控股,10002392,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-22 00:00:00,2025-04-22 00:00:00,CNY,1928598129.26,,,,,,,,,,,,866267.63,33316606.16,,0.0,1962781003.05,1256342839.45,,,,,,138141486.07,61496315.27,32981432.69,,0.0,1488962073.48,,0.0,473818929.57,,24905572.11,14055621.0,,,3117743059.73,,0.0,3156704252.84,305334491.99,,,,,3636919134.46,,0.0,3942253626.45,,0.0,-785549373.61,,,140000000.0,,,,0.0,140000000.0,1450000.0,1033974.58,,,77098808.95,,,0.0,79582783.53,,0.0,60417216.47,-396253.68,,0.0,-251709481.25,2692412974.43,,0.0,2440703493.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9384229397,,,,,,,,,,,,,4.1555476367,,,34.3238477229,6.8044057389,,,,,,11.2120674276,90.8315209182,-39.0688160013,,,7.3612244406,,,537.2035304528,,-29.1724914816,5.1559529783,,,41.7189099058,,,40.3928928958,173.6524223613,,,,,46.3490938663,,,31.5542169807,,,-4.9922741125,,,382.7586206897,,,,,-14.7471347189,,187.0490474221,,,-74.508142515,,,,-73.7181455328,,,143.5949343435,-111.7007673518,,,68.8878560859,41.4110790248,,,122.9110724483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600179.SH,600179,安通控股,10002392,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-25 00:00:00,2025-03-25 00:00:00,CNY,7051869746.02,,,,,,,,,,,,3615416.58,227298643.5,,0.0,7282783806.1,5399401958.31,,,,,,483429927.75,146196470.78,164479837.47,,0.0,6193508194.31,,0.0,1089275611.79,,190041220.48,112501195.87,,,11189619408.86,,0.0,11492161825.21,588570306.44,468000000.0,,,,9642945597.72,,0.0,10699515904.16,,0.0,792645921.05,600000.0,600000.0,97000000.0,,399492486.43,,0.0,497092486.43,9850000.0,3209827.03,,,1596362372.97,,,0.0,1609422200.0,,0.0,-1112329713.57,18859320.63,,0.0,788451139.9,1903961834.53,,0.0,2692412974.43,610354196.61,,230930800.06,230930800.06,,3947381.03,70043961.3,,,,-13793532.68,-6275570.66,-76102843.51,36688154.67,-64183513.54,35811329.58,24457760.9,11353568.68,,12502287.63,-76922411.54,96550808.15,,,0.0,1089275611.79,,,,,2692412974.43,1903961834.53,,,,,788451139.9,3.195179279,,,,,,,,,,,,-21.3855063201,-16.7169455873,,,2.4150520755,7.4947591599,,,,,,-9.0177939841,-57.1315962587,14.8653973537,,,2.566675785,,,1.561385279,,42.3602450079,-46.608663602,,,5.6186841122,,,4.9527444213,155.3015614744,212.0,,,,-13.5132442336,,,-7.2041016886,,,236.5885907898,,,94.0,,-59.7137678804,,,-52.2776828887,,3019.8202167469,,,66.6416401768,,,,67.9868922362,,,-1430.9978261649,63.417240376,,,34.2445151561,44.6079351908,,,41.4110790248,7.5178735772,,18.5410747876,18.5410747876,,-3.2554435017,2.2053236765,,,,75.4693190543,-4260.5558421456,14.2973933192,-39.8469464866,30.0869597891,-20.5252065636,-70.6392998798,129.6894953859,,-73.1092219189,-209.7947309962,355.4869532976,,,,1.561385279,,,,,41.4110790248,44.6079351908,,,,,34.2445151561,标准无保留意见,,,,229288953.32,-20.7481830315
600179.SH,600179,安通控股,10002392,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-22 00:00:00,2025-10-25 00:00:00,CNY,5045328098.95,,,,,,,,,,,,3615416.58,143328327.31,,0.0,5192271842.84,4054886668.54,,,,,,369832244.78,103659260.2,116665234.62,,0.0,4645043408.14,,0.0,547228434.7,,136869297.08,66557950.41,,,7997009315.87,,0.0,8200436563.36,218242230.73,468000000.0,,,,7581441866.61,,0.0,8267684097.34,,0.0,-67247533.98,600000.0,600000.0,97000000.0,,399492486.43,,0.0,497092486.43,3950000.0,2182199.36,,,1282037142.45,,,0.0,1288169341.81,,0.0,-791076855.38,-1975209.97,,0.0,-313071164.63,1903961834.53,,0.0,1590890669.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3982991668,,,,,,,,,,,,11.6656626666,-18.9345070833,,,-2.936338501,8.3623363115,,,,,,-9.52132945,-62.0858181378,20.855133307,,,2.7514580935,,,-33.9644325232,,38.0026831842,-65.6314376777,,,-1.2585472131,,,-2.3913954829,204.3868802754,368.0,,,,-19.6221626407,,,-13.9137390874,,,94.4081875047,,,,,-55.2236105535,,,-44.2842918969,,,,,54.8693812286,,,,55.6101475364,,,-1328.8350217127,-113.6433720237,,,-6.1020481567,44.6079351908,,,55.7298058753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600179.SH,600179,安通控股,10002392,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-27 00:00:00,2025-08-19 00:00:00,CNY,3283230538.72,,,,,,,,,,,,2951589.07,99236600.92,,0.0,3385418728.71,2433162349.64,,,,,,250104345.94,93314929.26,82260455.4,,0.0,2858842080.24,,0.0,526576648.47,,98920130.2,62601451.13,,,5479178053.68,,0.0,5640699635.01,195747797.59,468000000.0,,,,5621558369.12,,0.0,6285306166.71,,0.0,-644606531.7,600000.0,600000.0,97000000.0,,268525354.49,,0.0,366125354.49,2500000.0,1128109.37,,,935644483.81,,,0.0,939272593.18,,0.0,-573147238.69,5745196.49,,0.0,-685431925.43,1903961834.53,,0.0,1218529909.1,154336460.24,,113193655.28,113193655.28,,1971071.7,38138102.52,,,,-10913999.32,-2818690.36,-42191727.62,26726354.48,-44376309.76,34830978.15,-5721028.27,40552006.42,,11020045.78,8825883.78,119991253.4,,,0.0,526576648.47,,,,,1218529909.1,1903961834.53,,,,,-685431925.43,-6.0332827318,,,,,,,,,,,,100.2274057467,-23.5197499311,,,-6.6159458488,2.8465093962,,,,,,-13.1201670522,-56.3046015083,20.5095103165,,,-2.6117845786,,,-23.657208141,,26.2507788075,66.832321761,,,-10.2382596327,,,-9.4529780887,273.7446300068,368.0,,,,-21.2696898816,,,-13.8131010797,,,39.3634702752,,,,,-59.0557590807,,,-44.1738946798,,,,,146.3100536015,,,,147.2651597651,,,-307.6866544215,-74.3849696692,,,-814.92057369,44.6079351908,,,-1.8675844436,-45.1747856054,,18.3718805555,18.3718805555,,-1.9971537548,21.0233207044,,,,-1791.3199977015,-810.201580323,3.331693567,38.9730652031,-9.3086033124,282.2782462301,-111.1870043741,196.4868585962,,-82.976096122,-91.9384988289,1070.0489510643,,,,-23.657208141,,,,,-1.8675844436,44.6079351908,,,,,-814.92057369,,,,,118160035.87,-20.8511001454
600179.SH,600179,安通控股,10002392,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-25 00:00:00,2025-04-22 00:00:00,CNY,1429243122.34,,,,,,,,,,,,,31987356.33,,0.0,1461230478.67,1176302448.16,,,,,,124214475.34,32225449.43,54128987.04,,0.0,1386871359.97,,0.0,74359118.7,,35163699.29,13366452.97,,,2199948519.08,,0.0,2248478671.34,111577485.54,400000000.0,,,,2485098498.65,,0.0,2996675984.19,,0.0,-748197312.85,600000.0,600000.0,29000000.0,,134617354.5,,0.0,164217354.5,,360208.33,,,302444845.36,,,0.0,302805053.69,,0.0,-138587699.19,3386561.48,,0.0,-809039331.86,1903961834.53,,0.0,1094922502.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0195571292,,,,,,,,,,,,,-26.7804224379,,,-9.5001137458,0.3491153814,,,,,,-14.6153422622,-80.1882620401,58.4766346131,,,-8.4271505047,,,-25.730552315,,50.4820133654,-47.6403380247,,,-5.0143220354,,,-4.926101219,477.3011455853,300.0,,,,28.2717532573,,,45.7032960111,,,-342.6985833713,,,,,-27.3856874007,,,-11.4190710537,,,,,200.3129595178,,,,200.6706287962,,,-263.6664433449,170.5756874425,,,-263.6632214081,44.6079351908,,,-39.5394110495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600179.SH,600179,安通控股,10002392,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-03-28 00:00:00,2025-03-25 00:00:00,CNY,6833526328.74,,,,,,,,,,,,4598918.61,272923039.51,,0.0,7111048286.86,5022944374.69,,,,,,531345577.25,341035490.06,143193547.63,,0.0,6038518989.63,,0.0,1072529297.23,9569575.28,133493181.66,210710582.39,1714685.38,,10594356010.89,,0.0,10949844035.6,230539250.54,150000000.0,,,,11149621132.47,,0.0,11530160383.01,,0.0,-580316347.41,,,50000000.0,,991635269.45,,0.0,1041635269.45,,102885.0,,,957961270.23,,,0.0,958064155.23,,0.0,83571114.22,11540594.24,,0.0,587324658.28,1316637176.25,,0.0,1903961834.53,567676960.4,765300.0,194810786.45,194810786.45,,4080209.96,68532595.74,,,,-56229717.84,150834.91,-88798750.07,60991342.13,-91804781.12,45059984.47,83301013.94,-38241029.47,,46492844.47,70060203.11,-37790895.74,,,0.0,1072529297.23,,,,,1903961834.53,1316637176.25,,,,,587324658.28,-28.8064713497,,,,,,,,,,,,-96.3208605475,-58.5291706641,,,-31.5035476399,0.0502185239,,,,,,-25.5739355839,-54.717776427,14.4952308701,,,-8.680871742,,,-71.5440365767,,80.4378759711,179.7684985101,,,79.6262463698,,,81.0699969967,-45.8654010931,-50.0,,,,26.2809632094,,,20.6704654241,,,83.4563155482,,,,,42.0981572534,,,49.2629970706,,-96.2275810432,,,-28.7833227111,,,,-28.9197908383,,,112.856874219,-88.1366910104,,,301.5328706427,-18.1229337573,,,44.6079351908,-76.0148946738,-99.3361071354,25.4041998869,25.4041998869,,3.8577109561,5.5423008151,,,,-446.7882620434,319.8682058155,-174.7568023925,645.7274818536,-305.704217102,46.4813603113,355.8031166865,-160.3874834543,,169.4205252443,-79.8447710052,-107.8401642241,,,,-71.5440365767,,,,,44.6079351908,-18.1229337573,,,,,301.5328706427,标准无保留意见,,,,289316967.22,-13.1712019768
600179.SH,600179,安通控股,10002392,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-24 00:00:00,2024-10-22 00:00:00,CNY,5169303460.78,,,,,,,,,,,,3237715.6,176805595.27,,0.0,5349346771.65,3741970509.83,,,,,,408750750.35,273404977.0,96533123.11,,0.0,4520659360.29,,0.0,828687411.36,9569575.28,99178721.69,193659396.59,,,8098938277.86,,0.0,8401345971.42,71698961.05,100000000.0,,,,9432254108.46,,0.0,9603953069.51,,0.0,-1202607098.09,,,,,892194505.56,,0.0,892194505.56,,,,,827818341.03,,,0.0,827818341.03,,0.0,64376164.53,14477432.46,,0.0,-295066089.74,1316637176.25,,0.0,1021571086.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30.4819736535,,,,,,,,,,,,-97.3126685902,13.9085913104,,,-30.6326080466,4.1192270206,,,,,,-4.1039374227,-53.08458954,-22.95808461,,,-4.390089042,,,-72.223229094,,128.5874547222,245.477556747,,,87.7361677761,,,90.3580847113,-79.3847175845,-66.6666666667,,,,76.8230546437,,,60.5452469564,,,23.3344960888,,,,,261.9143661283,,,261.9143661283,,,,,-29.3260649152,,,,-29.4902393812,,,106.9406244641,-88.2700827407,,,-148.3210114864,-18.1229337573,,,-53.9563868411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600179.SH,600179,安通控股,10002392,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-22 00:00:00,2024-08-27 00:00:00,CNY,3494035584.27,,,,,,,,,,,,1474118.42,129754545.56,,0.0,3625264248.25,2365819087.03,,,,,,287873879.88,213557794.37,68260550.71,,0.0,2935511311.99,,0.0,689752936.26,9569575.28,78352095.04,37523574.85,,,6104135271.06,,0.0,6229580516.23,52374745.18,100000000.0,,,,7140272101.9,,0.0,7292646847.08,,0.0,-1063066330.85,,,,,655831805.55,,0.0,655831805.55,,,,,379864512.28,,,0.0,379864512.28,,0.0,275967293.27,22429005.22,,0.0,-74917096.1,1316637176.25,,0.0,1241720080.15,281506350.58,,95625459.99,95625459.99,,2011239.24,31513019.39,,,,645294.76,396885.96,-43645874.41,19231319.71,-40597270.86,9111420.41,51139948.45,-42028528.04,,64732777.27,109481889.2,10255233.62,,,0.0,689752936.26,,,,,1241720080.15,1316637176.25,,,,,-74917096.1,-26.7960360545,,,,,,,,,,,,-98.7482942861,97.65472021,,,-26.8573504687,5.3029831685,,,,,,-7.4525671106,-44.1505104104,-15.006260008,,,-2.8113800229,,,-64.3723216306,,209.9019816684,-28.9741641954,,,142.2275901214,,,139.7732019701,-70.5300085796,-66.6666666667,,,,107.8084132989,,,86.3358893354,,,19.1951098827,,,,,328.8428024906,,,328.8428024906,,,,,-22.6590361837,,,,-22.6590361837,,,181.592798101,-28.6694110575,,,-123.8874616592,-18.1229337573,,,-35.3839910193,-75.8706300407,,36.0746634975,36.0746634975,,2.2827537524,27.5985668825,,,,102.7529661248,151.3434862578,-1920.3597079216,-11.3960266034,-562.3707576792,-65.7807294944,122.5023353152,-116.5537260809,,597.1893338552,-29.2992935487,-97.0375705336,,,,-64.3723216306,,,,,-35.3839910193,-18.1229337573,,,,,-123.8874616592,,,,,149288285.86,-12.7653591319
600179.SH,600179,安通控股,10002392,通用,2023-03-31 00:00:00,一季报,2023一季报,058001001,2023-04-29 00:00:00,2024-04-25 00:00:00,CNY,1570934452.77,,,,,,,,,,,,,43686890.03,,0.0,1614621342.8,1172210082.46,,,,,,145476340.4,162658366.95,34155815.57,,0.0,1514500605.38,,0.0,100120737.42,,23367376.94,25528149.85,,,2316084452.12,,0.0,2364979978.91,19327431.86,100000000.0,,,,1937370025.39,,0.0,2056697457.25,,0.0,308282521.66,,,,,185386805.55,,0.0,185386805.55,,,,,100709888.06,,,0.0,100709888.06,,0.0,84676917.49,1251613.37,,0.0,494331789.94,1316637176.25,,0.0,1810968966.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.9274440189,,,,,,,,,,,,,106.3624006652,,,-20.2879885631,23.037499933,,,,,,9.8456490699,83.3125499225,-35.2338635161,,,23.4681248367,,,-87.4682337364,,41.6855580223,-51.5343308197,,,58.6359213781,,,54.658253286,-63.1240671394,,,,,4.6079180893,,,7.9947514675,,,182.1479959766,,,,,,,,,,,,,-33.0906968278,,,,-33.0906968278,,,156.2573710801,137.9213739675,,,83.1937201943,-18.1229337573,,,-3.5644972161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
